Path,Fold,Family,Instrument (abbr.),Instrument (in full),Technique (abbr.),Technique (in full),Pitch,Pitch ID,Dynamics,Dynamics ID,Instance ID,String ID (if applicable),Needed digital retuning
Brass/Bass_Tuba/ordinario/BTb-ord-G2-pp-N-N.wav,1,Brass,BTb,Bass Tuba,ord,ordinario,G2,43,pp,0,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-G#2-pp-N-T16u.wav,0,Brass,BTb,Bass Tuba,ord,ordinario,G#2,44,pp,0,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-A2-pp-N-T15u.wav,0,Brass,BTb,Bass Tuba,ord,ordinario,A2,45,pp,0,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-A#2-pp-N-N.wav,3,Brass,BTb,Bass Tuba,ord,ordinario,A#2,46,pp,0,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-B2-pp-N-T11d.wav,1,Brass,BTb,Bass Tuba,ord,ordinario,B2,47,pp,0,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-C3-pp-N-T11d.wav,4,Brass,BTb,Bass Tuba,ord,ordinario,C3,48,pp,0,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-C#3-pp-N-N.wav,2,Brass,BTb,Bass Tuba,ord,ordinario,C#3,49,pp,0,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-D3-pp-N-N.wav,2,Brass,BTb,Bass Tuba,ord,ordinario,D3,50,pp,0,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-D#3-pp-N-N.wav,1,Brass,BTb,Bass Tuba,ord,ordinario,D#3,51,pp,0,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-E3-pp-N-N.wav,4,Brass,BTb,Bass Tuba,ord,ordinario,E3,52,pp,0,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-F3-pp-N-N.wav,3,Brass,BTb,Bass Tuba,ord,ordinario,F3,53,pp,0,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-F#3-pp-N-N.wav,4,Brass,BTb,Bass Tuba,ord,ordinario,F#3,54,pp,0,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-G3-pp-N-T14d.wav,3,Brass,BTb,Bass Tuba,ord,ordinario,G3,55,pp,0,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-G#3-pp-N-N.wav,0,Brass,BTb,Bass Tuba,ord,ordinario,G#3,56,pp,0,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-A3-pp-N-N.wav,2,Brass,BTb,Bass Tuba,ord,ordinario,A3,57,pp,0,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-A#3-pp-N-T13d.wav,4,Brass,BTb,Bass Tuba,ord,ordinario,A#3,58,pp,0,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-B3-pp-N-T14d.wav,0,Brass,BTb,Bass Tuba,ord,ordinario,B3,59,pp,0,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-C4-pp-N-N.wav,4,Brass,BTb,Bass Tuba,ord,ordinario,C4,60,pp,0,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-C#4-pp-N-N.wav,1,Brass,BTb,Bass Tuba,ord,ordinario,C#4,61,pp,0,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-D4-pp-N-N.wav,4,Brass,BTb,Bass Tuba,ord,ordinario,D4,62,pp,0,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-D#4-pp-N-N.wav,4,Brass,BTb,Bass Tuba,ord,ordinario,D#4,63,pp,0,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-E4-pp-N-N.wav,4,Brass,BTb,Bass Tuba,ord,ordinario,E4,64,pp,0,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-F4-pp-N-N.wav,4,Brass,BTb,Bass Tuba,ord,ordinario,F4,65,pp,0,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-F#1-mf-N-T18u.wav,1,Brass,BTb,Bass Tuba,ord,ordinario,F#1,30,mf,2,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-G1-mf-N-N.wav,2,Brass,BTb,Bass Tuba,ord,ordinario,G1,31,mf,2,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-G#1-mf-N-T18u.wav,1,Brass,BTb,Bass Tuba,ord,ordinario,G#1,32,mf,2,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-A1-mf-N-T33u.wav,2,Brass,BTb,Bass Tuba,ord,ordinario,A1,33,mf,2,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-A#1-mf-N-N.wav,0,Brass,BTb,Bass Tuba,ord,ordinario,A#1,34,mf,2,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-B1-mf-N-T16u.wav,0,Brass,BTb,Bass Tuba,ord,ordinario,B1,35,mf,2,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-C2-mf-N-T23u.wav,2,Brass,BTb,Bass Tuba,ord,ordinario,C2,36,mf,2,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-C#2-mf-N-N.wav,3,Brass,BTb,Bass Tuba,ord,ordinario,C#2,37,mf,2,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-D2-mf-N-T15u.wav,1,Brass,BTb,Bass Tuba,ord,ordinario,D2,38,mf,2,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-D#2-mf-N-T34u.wav,1,Brass,BTb,Bass Tuba,ord,ordinario,D#2,39,mf,2,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-E2-mf-N-T27u.wav,2,Brass,BTb,Bass Tuba,ord,ordinario,E2,40,mf,2,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-F2-mf-N-T24u.wav,3,Brass,BTb,Bass Tuba,ord,ordinario,F2,41,mf,2,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-F#2-mf-N-T19u.wav,1,Brass,BTb,Bass Tuba,ord,ordinario,F#2,42,mf,2,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-G2-mf-N-T15u.wav,2,Brass,BTb,Bass Tuba,ord,ordinario,G2,43,mf,2,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-G#2-mf-N-T26u.wav,0,Brass,BTb,Bass Tuba,ord,ordinario,G#2,44,mf,2,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-A2-mf-N-T29u.wav,0,Brass,BTb,Bass Tuba,ord,ordinario,A2,45,mf,2,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-A#2-mf-N-T29u.wav,2,Brass,BTb,Bass Tuba,ord,ordinario,A#2,46,mf,2,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-B2-mf-N-T17u.wav,2,Brass,BTb,Bass Tuba,ord,ordinario,B2,47,mf,2,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-C3-mf-N-T28u.wav,0,Brass,BTb,Bass Tuba,ord,ordinario,C3,48,mf,2,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-C#3-mf-N-T25u.wav,0,Brass,BTb,Bass Tuba,ord,ordinario,C#3,49,mf,2,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-D3-mf-N-T16u.wav,3,Brass,BTb,Bass Tuba,ord,ordinario,D3,50,mf,2,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-D#3-mf-N-T25u.wav,4,Brass,BTb,Bass Tuba,ord,ordinario,D#3,51,mf,2,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-E3-mf-N-T23u.wav,3,Brass,BTb,Bass Tuba,ord,ordinario,E3,52,mf,2,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-F3-mf-N-N.wav,1,Brass,BTb,Bass Tuba,ord,ordinario,F3,53,mf,2,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-F#3-mf-N-N.wav,2,Brass,BTb,Bass Tuba,ord,ordinario,F#3,54,mf,2,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-G3-mf-N-T14u.wav,4,Brass,BTb,Bass Tuba,ord,ordinario,G3,55,mf,2,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-G#3-mf-N-T11u.wav,3,Brass,BTb,Bass Tuba,ord,ordinario,G#3,56,mf,2,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-A3-mf-N-N.wav,2,Brass,BTb,Bass Tuba,ord,ordinario,A3,57,mf,2,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-A#3-mf-N-T14u.wav,3,Brass,BTb,Bass Tuba,ord,ordinario,A#3,58,mf,2,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-B3-mf-N-N.wav,2,Brass,BTb,Bass Tuba,ord,ordinario,B3,59,mf,2,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-C4-mf-N-N.wav,4,Brass,BTb,Bass Tuba,ord,ordinario,C4,60,mf,2,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-C#4-mf-N-N.wav,2,Brass,BTb,Bass Tuba,ord,ordinario,C#4,61,mf,2,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-D4-mf-N-N.wav,3,Brass,BTb,Bass Tuba,ord,ordinario,D4,62,mf,2,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-D#4-mf-N-N.wav,1,Brass,BTb,Bass Tuba,ord,ordinario,D#4,63,mf,2,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-E4-mf-N-T11d.wav,4,Brass,BTb,Bass Tuba,ord,ordinario,E4,64,mf,2,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-F4-mf-N-N.wav,4,Brass,BTb,Bass Tuba,ord,ordinario,F4,65,mf,2,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-F#1-ff-N-N.wav,3,Brass,BTb,Bass Tuba,ord,ordinario,F#1,30,ff,4,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-G1-ff-N-T15d.wav,4,Brass,BTb,Bass Tuba,ord,ordinario,G1,31,ff,4,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-G#1-ff-N-T12u.wav,3,Brass,BTb,Bass Tuba,ord,ordinario,G#1,32,ff,4,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-A1-ff-N-T19d.wav,0,Brass,BTb,Bass Tuba,ord,ordinario,A1,33,ff,4,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-A#1-ff-N-T30d.wav,0,Brass,BTb,Bass Tuba,ord,ordinario,A#1,34,ff,4,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-B1-ff-N-N.wav,0,Brass,BTb,Bass Tuba,ord,ordinario,B1,35,ff,4,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-C2-ff-N-N.wav,1,Brass,BTb,Bass Tuba,ord,ordinario,C2,36,ff,4,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-C#2-ff-N-N.wav,2,Brass,BTb,Bass Tuba,ord,ordinario,C#2,37,ff,4,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-D2-ff-N-T13u.wav,1,Brass,BTb,Bass Tuba,ord,ordinario,D2,38,ff,4,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-D#2-ff-N-N.wav,0,Brass,BTb,Bass Tuba,ord,ordinario,D#2,39,ff,4,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-E2-ff-N-T10u.wav,1,Brass,BTb,Bass Tuba,ord,ordinario,E2,40,ff,4,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-F2-ff-N-T15u.wav,2,Brass,BTb,Bass Tuba,ord,ordinario,F2,41,ff,4,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-F#2-ff-N-N.wav,2,Brass,BTb,Bass Tuba,ord,ordinario,F#2,42,ff,4,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-G2-ff-N-N.wav,0,Brass,BTb,Bass Tuba,ord,ordinario,G2,43,ff,4,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-G#2-ff-N-N.wav,0,Brass,BTb,Bass Tuba,ord,ordinario,G#2,44,ff,4,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-A2-ff-N-N.wav,0,Brass,BTb,Bass Tuba,ord,ordinario,A2,45,ff,4,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-A#2-ff-N-T19u.wav,1,Brass,BTb,Bass Tuba,ord,ordinario,A#2,46,ff,4,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-B2-ff-N-N.wav,0,Brass,BTb,Bass Tuba,ord,ordinario,B2,47,ff,4,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-C3-ff-N-T18u.wav,3,Brass,BTb,Bass Tuba,ord,ordinario,C3,48,ff,4,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-C#3-ff-N-N.wav,1,Brass,BTb,Bass Tuba,ord,ordinario,C#3,49,ff,4,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-D3-ff-N-T15u.wav,4,Brass,BTb,Bass Tuba,ord,ordinario,D3,50,ff,4,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-D#3-ff-N-T17u.wav,3,Brass,BTb,Bass Tuba,ord,ordinario,D#3,51,ff,4,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-E3-ff-N-T16u.wav,0,Brass,BTb,Bass Tuba,ord,ordinario,E3,52,ff,4,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-F3-ff-N-N.wav,3,Brass,BTb,Bass Tuba,ord,ordinario,F3,53,ff,4,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-F#3-ff-N-N.wav,2,Brass,BTb,Bass Tuba,ord,ordinario,F#3,54,ff,4,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-G3-ff-N-T14u.wav,3,Brass,BTb,Bass Tuba,ord,ordinario,G3,55,ff,4,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-G#3-ff-N-N.wav,2,Brass,BTb,Bass Tuba,ord,ordinario,G#3,56,ff,4,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-A3-ff-N-N.wav,3,Brass,BTb,Bass Tuba,ord,ordinario,A3,57,ff,4,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-A#3-ff-N-N.wav,0,Brass,BTb,Bass Tuba,ord,ordinario,A#3,58,ff,4,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-B3-ff-N-T18d.wav,4,Brass,BTb,Bass Tuba,ord,ordinario,B3,59,ff,4,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-C4-ff-N-N.wav,1,Brass,BTb,Bass Tuba,ord,ordinario,C4,60,ff,4,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-C#4-ff-N-T21u.wav,3,Brass,BTb,Bass Tuba,ord,ordinario,C#4,61,ff,4,0,,TRUE
Brass/Bass_Tuba/ordinario/BTb-ord-D4-ff-N-N.wav,4,Brass,BTb,Bass Tuba,ord,ordinario,D4,62,ff,4,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-D#4-ff-N-N.wav,3,Brass,BTb,Bass Tuba,ord,ordinario,D#4,63,ff,4,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-E4-ff-N-N.wav,4,Brass,BTb,Bass Tuba,ord,ordinario,E4,64,ff,4,0,,FALSE
Brass/Bass_Tuba/ordinario/BTb-ord-F4-ff-N-N.wav,1,Brass,BTb,Bass Tuba,ord,ordinario,F4,65,ff,4,0,,FALSE
Brass/Horn/ordinario/Hn-ord-A#1-pp-N-N.wav,0,Brass,Hn,French Horn,ord,ordinario,A#1,34,pp,0,0,,FALSE
Brass/Horn/ordinario/Hn-ord-B1-pp-N-T15d.wav,0,Brass,Hn,French Horn,ord,ordinario,B1,35,pp,0,0,,TRUE
Brass/Horn/ordinario/Hn-ord-C2-pp-N-N.wav,3,Brass,Hn,French Horn,ord,ordinario,C2,36,pp,0,0,,FALSE
Brass/Horn/ordinario/Hn-ord-C#2-pp-N-N.wav,1,Brass,Hn,French Horn,ord,ordinario,C#2,37,pp,0,0,,FALSE
Brass/Horn/ordinario/Hn-ord-D2-pp-N-N.wav,1,Brass,Hn,French Horn,ord,ordinario,D2,38,pp,0,0,,FALSE
Brass/Horn/ordinario/Hn-ord-D#2-pp-N-R100u.wav,2,Brass,Hn,French Horn,ord,ordinario,D#2,39,pp,0,0,,TRUE
Brass/Horn/ordinario/Hn-ord-E2-pp-N-N.wav,1,Brass,Hn,French Horn,ord,ordinario,E2,40,pp,0,0,,FALSE
Brass/Horn/ordinario/Hn-ord-F2-pp-N-N.wav,1,Brass,Hn,French Horn,ord,ordinario,F2,41,pp,0,0,,FALSE
Brass/Horn/ordinario/Hn-ord-F#2-pp-N-N.wav,3,Brass,Hn,French Horn,ord,ordinario,F#2,42,pp,0,0,,FALSE
Brass/Horn/ordinario/Hn-ord-G2-pp-N-N.wav,3,Brass,Hn,French Horn,ord,ordinario,G2,43,pp,0,0,,FALSE
Brass/Horn/ordinario/Hn-ord-G#2-pp-N-N.wav,0,Brass,Hn,French Horn,ord,ordinario,G#2,44,pp,0,0,,FALSE
Brass/Horn/ordinario/Hn-ord-A2-pp-N-R100u.wav,0,Brass,Hn,French Horn,ord,ordinario,A2,45,pp,0,0,,TRUE
Brass/Horn/ordinario/Hn-ord-A#2-pp-N-R100d.wav,1,Brass,Hn,French Horn,ord,ordinario,A#2,46,pp,0,0,,TRUE
Brass/Horn/ordinario/Hn-ord-B2-pp-N-N.wav,2,Brass,Hn,French Horn,ord,ordinario,B2,47,pp,0,0,,FALSE
Brass/Horn/ordinario/Hn-ord-C3-pp-N-N.wav,3,Brass,Hn,French Horn,ord,ordinario,C3,48,pp,0,0,,FALSE
Brass/Horn/ordinario/Hn-ord-C#3-pp-N-N.wav,3,Brass,Hn,French Horn,ord,ordinario,C#3,49,pp,0,0,,FALSE
Brass/Horn/ordinario/Hn-ord-D3-pp-N-N.wav,2,Brass,Hn,French Horn,ord,ordinario,D3,50,pp,0,0,,FALSE
Brass/Horn/ordinario/Hn-ord-D#3-pp-N-N.wav,1,Brass,Hn,French Horn,ord,ordinario,D#3,51,pp,0,0,,FALSE
Brass/Horn/ordinario/Hn-ord-E3-pp-N-N.wav,3,Brass,Hn,French Horn,ord,ordinario,E3,52,pp,0,0,,FALSE
Brass/Horn/ordinario/Hn-ord-F3-pp-N-N.wav,3,Brass,Hn,French Horn,ord,ordinario,F3,53,pp,0,0,,FALSE
Brass/Horn/ordinario/Hn-ord-F#3-pp-N-N.wav,3,Brass,Hn,French Horn,ord,ordinario,F#3,54,pp,0,0,,FALSE
Brass/Horn/ordinario/Hn-ord-G3-pp-N-N.wav,0,Brass,Hn,French Horn,ord,ordinario,G3,55,pp,0,0,,FALSE
Brass/Horn/ordinario/Hn-ord-G#3-pp-N-N.wav,2,Brass,Hn,French Horn,ord,ordinario,G#3,56,pp,0,0,,FALSE
Brass/Horn/ordinario/Hn-ord-A3-pp-N-N.wav,1,Brass,Hn,French Horn,ord,ordinario,A3,57,pp,0,0,,FALSE
Brass/Horn/ordinario/Hn-ord-A#3-pp-N-N.wav,3,Brass,Hn,French Horn,ord,ordinario,A#3,58,pp,0,0,,FALSE
Brass/Horn/ordinario/Hn-ord-B3-pp-N-N.wav,1,Brass,Hn,French Horn,ord,ordinario,B3,59,pp,0,0,,FALSE
Brass/Horn/ordinario/Hn-ord-C4-pp-N-N.wav,3,Brass,Hn,French Horn,ord,ordinario,C4,60,pp,0,0,,FALSE
Brass/Horn/ordinario/Hn-ord-C#4-pp-N-N.wav,3,Brass,Hn,French Horn,ord,ordinario,C#4,61,pp,0,0,,FALSE
Brass/Horn/ordinario/Hn-ord-D4-pp-N-N.wav,0,Brass,Hn,French Horn,ord,ordinario,D4,62,pp,0,0,,FALSE
Brass/Horn/ordinario/Hn-ord-D#4-pp-N-N.wav,4,Brass,Hn,French Horn,ord,ordinario,D#4,63,pp,0,0,,FALSE
Brass/Horn/ordinario/Hn-ord-E4-pp-N-N.wav,4,Brass,Hn,French Horn,ord,ordinario,E4,64,pp,0,0,,FALSE
Brass/Horn/ordinario/Hn-ord-F4-pp-N-N.wav,2,Brass,Hn,French Horn,ord,ordinario,F4,65,pp,0,0,,FALSE
Brass/Horn/ordinario/Hn-ord-F#4-pp-N-T10u.wav,2,Brass,Hn,French Horn,ord,ordinario,F#4,66,pp,0,0,,TRUE
Brass/Horn/ordinario/Hn-ord-G4-pp-N-N.wav,4,Brass,Hn,French Horn,ord,ordinario,G4,67,pp,0,0,,FALSE
Brass/Horn/ordinario/Hn-ord-G#4-pp-N-T10u.wav,2,Brass,Hn,French Horn,ord,ordinario,G#4,68,pp,0,0,,TRUE
Brass/Horn/ordinario/Hn-ord-A4-pp-N-N.wav,4,Brass,Hn,French Horn,ord,ordinario,A4,69,pp,0,0,,FALSE
Brass/Horn/ordinario/Hn-ord-A#4-pp-N-N.wav,0,Brass,Hn,French Horn,ord,ordinario,A#4,70,pp,0,0,,FALSE
Brass/Horn/ordinario/Hn-ord-B4-pp-N-N.wav,2,Brass,Hn,French Horn,ord,ordinario,B4,71,pp,0,0,,FALSE
Brass/Horn/ordinario/Hn-ord-C5-pp-N-N.wav,4,Brass,Hn,French Horn,ord,ordinario,C5,72,pp,0,0,,FALSE
Brass/Horn/ordinario/Hn-ord-C#5-pp-N-N.wav,3,Brass,Hn,French Horn,ord,ordinario,C#5,73,pp,0,0,,FALSE
Brass/Horn/ordinario/Hn-ord-D5-pp-N-T10u.wav,0,Brass,Hn,French Horn,ord,ordinario,D5,74,pp,0,0,,TRUE
Brass/Horn/ordinario/Hn-ord-D#5-pp-N-N.wav,2,Brass,Hn,French Horn,ord,ordinario,D#5,75,pp,0,0,,FALSE
Brass/Horn/ordinario/Hn-ord-E5-pp-N-N.wav,4,Brass,Hn,French Horn,ord,ordinario,E5,76,pp,0,0,,FALSE
Brass/Horn/ordinario/Hn-ord-F5-pp-N-T11u.wav,4,Brass,Hn,French Horn,ord,ordinario,F5,77,pp,0,0,,TRUE
Brass/Horn/ordinario/Hn-ord-G1-mf-N-T40d.wav,1,Brass,Hn,French Horn,ord,ordinario,G1,31,mf,2,0,,TRUE
Brass/Horn/ordinario/Hn-ord-G#1-mf-N-N.wav,1,Brass,Hn,French Horn,ord,ordinario,G#1,32,mf,2,0,,FALSE
Brass/Horn/ordinario/Hn-ord-A1-mf-N-N.wav,2,Brass,Hn,French Horn,ord,ordinario,A1,33,mf,2,0,,FALSE
Brass/Horn/ordinario/Hn-ord-A#1-mf-N-T17d.wav,0,Brass,Hn,French Horn,ord,ordinario,A#1,34,mf,2,0,,TRUE
Brass/Horn/ordinario/Hn-ord-B1-mf-N-N.wav,0,Brass,Hn,French Horn,ord,ordinario,B1,35,mf,2,0,,FALSE
Brass/Horn/ordinario/Hn-ord-C2-mf-N-N.wav,0,Brass,Hn,French Horn,ord,ordinario,C2,36,mf,2,0,,FALSE
Brass/Horn/ordinario/Hn-ord-C#2-mf-N-N.wav,1,Brass,Hn,French Horn,ord,ordinario,C#2,37,mf,2,0,,FALSE
Brass/Horn/ordinario/Hn-ord-D2-mf-N-N.wav,2,Brass,Hn,French Horn,ord,ordinario,D2,38,mf,2,0,,FALSE
Brass/Horn/ordinario/Hn-ord-D#2-mf-N-N.wav,1,Brass,Hn,French Horn,ord,ordinario,D#2,39,mf,2,0,,FALSE
Brass/Horn/ordinario/Hn-ord-E2-mf-N-N.wav,0,Brass,Hn,French Horn,ord,ordinario,E2,40,mf,2,0,,FALSE
Brass/Horn/ordinario/Hn-ord-F2-mf-N-N.wav,2,Brass,Hn,French Horn,ord,ordinario,F2,41,mf,2,0,,FALSE
Brass/Horn/ordinario/Hn-ord-F#2-mf-N-N.wav,0,Brass,Hn,French Horn,ord,ordinario,F#2,42,mf,2,0,,FALSE
Brass/Horn/ordinario/Hn-ord-G2-mf-N-N.wav,1,Brass,Hn,French Horn,ord,ordinario,G2,43,mf,2,0,,FALSE
Brass/Horn/ordinario/Hn-ord-G#2-mf-N-N.wav,1,Brass,Hn,French Horn,ord,ordinario,G#2,44,mf,2,0,,FALSE
Brass/Horn/ordinario/Hn-ord-A2-mf-N-N.wav,2,Brass,Hn,French Horn,ord,ordinario,A2,45,mf,2,0,,FALSE
Brass/Horn/ordinario/Hn-ord-A#2-mf-N-N.wav,0,Brass,Hn,French Horn,ord,ordinario,A#2,46,mf,2,0,,FALSE
Brass/Horn/ordinario/Hn-ord-B2-mf-N-N.wav,2,Brass,Hn,French Horn,ord,ordinario,B2,47,mf,2,0,,FALSE
Brass/Horn/ordinario/Hn-ord-C3-mf-N-N.wav,0,Brass,Hn,French Horn,ord,ordinario,C3,48,mf,2,0,,FALSE
Brass/Horn/ordinario/Hn-ord-C#3-mf-N-N.wav,2,Brass,Hn,French Horn,ord,ordinario,C#3,49,mf,2,0,,FALSE
